NN: 784x1024x16
initialization: all random N(0,0.1)
NAG: true
momentum rule: true
learning rate: 0.1
lambda: 10.0

        TRAIN                                                           TEST
Epoch   CE1             CE2             CE              %Train          CE1             CE2             CE              %Test
0       4.784115        0.682536        5.466651        8.984375%       4.800530        4.095215        8.895745        9.980000%
500     0.636744        0.648705        1.285449        87.890625%      0.490821        3.892231        4.383052        91.459999%
1000    0.259231        0.578314        0.837545        94.921875%      0.426080        3.469885        3.895965        92.430000%
1500    0.351337        0.503432        0.854770        94.921875%      0.349084        3.020595        3.369679        94.230003%
2000    0.282256        0.440726        0.722982        96.875000%      0.294232        2.644356        2.938587        95.200005%
2500    0.244609        0.387820        0.632429        96.093750%      0.259367        2.326919        2.586286        95.830002%
3000    0.244964        0.343155        0.588119        95.312500%      0.225139        2.058931        2.284070        96.410004%
3500    0.144714        0.304769        0.449484        98.437500%      0.218830        1.828617        2.047446        96.419998%
4000    0.221567        0.272398        0.493965        95.703125%      0.201569        1.634388        1.835957        96.690002%
4500    0.207037        0.244517        0.451554        96.484375%      0.188076        1.467104        1.655180        96.959999%
5000    0.222222        0.220872        0.443094        96.093750%      0.184813        1.325231        1.510043        96.940002%
5500    0.149981        0.200704        0.350685        97.265625%      0.184584        1.204225        1.388809        97.059998%
6000    0.128286        0.183677        0.311963        98.828125%      0.173973        1.102061        1.276034        97.150002%
6500    0.158797        0.168958        0.327755        96.484375%      0.175446        1.013747        1.189194        97.110001%
7000    0.132995        0.156805        0.289799        97.265625%      0.166793        0.940829        1.107621        97.209999%
7500    0.170756        0.146183        0.316939        98.046875%      0.164309        0.877100        1.041409        97.339996%
8000    0.185331        0.137376        0.322707        96.093750%      0.162416        0.824254        0.986670        97.330002%
8500    0.081528        0.129872        0.211399        99.609375%      0.161780        0.779231        0.941010        97.250000%
9000    0.188674        0.123599        0.312272        98.046875%      0.157889        0.741592        0.899481        97.489998%
9500    0.141681        0.118056        0.259737        98.046875%      0.162142        0.708335        0.870477        97.389999%
10000   0.121532        0.113505        0.235038        97.656250%      0.160379        0.681033        0.841412        97.320000%
10500   0.174466        0.109220        0.283687        97.265625%      0.156812        0.655321        0.812132        97.290001%
11000   0.183630        0.105765        0.289395        97.656250%      0.148589        0.634588        0.783177        97.519997%
11500   0.070061        0.102869        0.172929        99.609375%      0.147212        0.617212        0.764424        97.589996%
12000   0.147638        0.100493        0.248131        97.656250%      0.145789        0.602957        0.748746        97.519997%
12500   0.137150        0.098527        0.235677        98.828125%      0.149534        0.591162        0.740696        97.599998%
13000   0.138671        0.096702        0.235373        98.046875%      0.148380        0.580213        0.728593        97.459999%
13500   0.075314        0.095210        0.170524        99.609375%      0.143857        0.571261        0.715117        97.649994%
14000   0.113649        0.094009        0.207658        97.265625%      0.144174        0.564053        0.708227        97.649994%
14500   0.124907        0.093036        0.217943        97.265625%      0.147425        0.558214        0.705639        97.519997%
15000   0.120166        0.092088        0.212254        98.046875%      0.144079        0.552527        0.696607        97.559998%
15500   0.127926        0.091138        0.219064        98.046875%      0.142806        0.546828        0.689634        97.570000%
16000   0.135611        0.090334        0.225945        97.656250%      0.142759        0.542002        0.684761        97.610001%
16500   0.088329        0.089790        0.178119        98.828125%      0.156893        0.538742        0.695635        97.360001%
17000   0.078191        0.089260        0.167452        100.000000%     0.141195        0.535563        0.676758        97.779999%
17500   0.083552        0.088862        0.172414        99.218750%      0.141575        0.533173        0.674748        97.659996%
18000   0.102901        0.088211        0.191113        98.046875%      0.139339        0.529267        0.668605        97.689995%
18500   0.092812        0.087866        0.180678        99.218750%      0.141287        0.527198        0.668485        97.729996%
19000   0.134937        0.087627        0.222564        98.046875%      0.150760        0.525760        0.676519        97.529999%
19500   0.131667        0.087453        0.219120        97.656250%      0.138052        0.524716        0.662768        97.689995%

