NN: 784x784x784x16
initialization: all random N(0,0.1)
NAG: true
momentum rule: true
learning rate: 0.1
lambda: 10.0

        TRAIN                                                           TEST
Epoch   CE1             CE2             CE              %Train          CE1             CE2             CE              %Test
0       4.721488        1.033749        5.755237        13.281250%      4.841626        6.202491        11.044117       9.969999%
500     0.640290        0.983429        1.623719        88.671875%      0.496803        5.900575        6.397378        91.299995%
1000    0.256946        0.875514        1.132460        94.531250%      0.415218        5.253085        5.668303        92.589996%
1500    0.323028        0.759278        1.082305        94.531250%      0.326930        4.555665        4.882595        94.389999%
2000    0.240701        0.660468        0.901168        96.875000%      0.283731        3.962806        4.246537        95.200005%
2500    0.242860        0.576643        0.819503        94.921875%      0.244629        3.459858        3.704487        95.760002%
3000    0.219218        0.505660        0.724878        95.312500%      0.208031        3.033959        3.241990        96.510002%
3500    0.130324        0.444918        0.575242        98.437500%      0.206340        2.669505        2.875845        96.529999%
4000    0.200702        0.393526        0.594227        96.093750%      0.187869        2.361153        2.549022        96.910004%
4500    0.170566        0.349409        0.519975        96.875000%      0.178164        2.096457        2.274621        97.040001%
5000    0.188967        0.312218        0.501186        96.875000%      0.173566        1.873309        2.046875        97.070000%
5500    0.128240        0.280363        0.408603        97.656250%      0.170329        1.682180        1.852509        97.180000%
6000    0.106812        0.253458        0.360270        98.828125%      0.159166        1.520750        1.679917        97.430000%
6500    0.148644        0.230485        0.379129        97.656250%      0.170042        1.382908        1.552949        96.949997%
7000    0.128413        0.211180        0.339593        98.046875%      0.164518        1.267081        1.431599        97.139999%
7500    0.155312        0.194406        0.349718        98.046875%      0.160712        1.166437        1.327149        97.239998%
8000    0.163535        0.180573        0.344108        96.484375%      0.147826        1.083439        1.231264        97.470001%
8500    0.066818        0.168822        0.235639        99.609375%      0.146067        1.012929        1.158996        97.430000%
9000    0.181990        0.158773        0.340763        97.656250%      0.147409        0.952638        1.100047        97.449997%
9500    0.123255        0.150000        0.273255        97.265625%      0.152279        0.900003        1.052282        97.330002%
10000   0.101749        0.142755        0.244505        98.046875%      0.146341        0.856531        1.002872        97.419998%
10500   0.151191        0.136041        0.287232        97.265625%      0.146895        0.816248        0.963143        97.349998%
11000   0.156914        0.130622        0.287536        98.046875%      0.137813        0.783730        0.921543        97.599998%
11500   0.046969        0.126098        0.173067        100.000000%     0.132550        0.756586        0.889136        97.659996%
12000   0.106960        0.122276        0.229237        98.437500%      0.128597        0.733656        0.862253        97.820000%
12500   0.106931        0.119111        0.226042        98.828125%      0.133361        0.714667        0.848028        97.719994%
13000   0.110841        0.116112        0.226953        98.437500%      0.140973        0.696675        0.837648        97.459999%
13500   0.051834        0.113768        0.165602        99.609375%      0.126295        0.682609        0.808904        97.919998%
