NN: 784x784x512x256x64x16
initialization: all random N(0,0.1)
NAG: true
momentum rule: true
learning rate: 0.1
lambda: 10.0

        TRAIN                                                           TEST
Epoch   CE1             CE2             CE              %Train          CE1             CE2             CE              %Test
0       3.891812        0.969573        4.861385        0.000000%       3.874820        5.817436        9.692255        0.000000%
500     0.961723        0.935042        1.896765        83.593750%      0.878511        5.610253        6.488763        85.169998%
1000    0.312858        0.844344        1.157202        95.703125%      0.476548        5.066063        5.542612        91.680000%
1500    0.317975        0.739289        1.057263        95.703125%      0.351871        4.435731        4.787602        94.090004%
2000    0.258833        0.648360        0.907194        94.531250%      0.341495        3.890162        4.231658        93.989998%
2500    0.313336        0.570530        0.883866        94.140625%      0.292387        3.423182        3.715569        95.080002%
3000    0.264653        0.504487        0.769140        94.531250%      0.221035        3.026921        3.247955        96.250000%
3500    0.112590        0.447374        0.559964        98.828125%      0.210348        2.684245        2.894593        96.360001%
4000    0.190235        0.399060        0.589295        94.921875%      0.197369        2.394360        2.591728        96.599998%
4500    0.153264        0.357600        0.510863        97.265625%      0.196576        2.145599        2.342175        96.510002%
5000    0.191799        0.322700        0.514499        97.265625%      0.171961        1.936199        2.108160        97.010002%
5500    0.120297        0.292866        0.413163        98.046875%      0.177840        1.757196        1.935036        96.919998%
6000    0.107005        0.267662        0.374667        98.828125%      0.160460        1.605973        1.766432        97.330002%
6500    0.151865        0.245948        0.397813        98.046875%      0.166093        1.475687        1.641780        97.239998%
7000    0.072553        0.227990        0.300543        99.218750%      0.158145        1.367939        1.526085        97.259995%
7500    0.140421        0.211986        0.352408        98.437500%      0.150924        1.271918        1.422842        97.419998%
8000    0.177357        0.198872        0.376229        97.265625%      0.189464        1.193230        1.382694        96.760002%
8500    0.082030        0.187781        0.269810        98.046875%      0.145628        1.126685        1.272313        97.529999%
9000    0.234585        0.189124        0.423709        95.703125%      0.226489        1.134742        1.361231        96.160004%
9500    0.099319        0.175863        0.275183        98.046875%      0.150031        1.055181        1.205211        97.389999%
10000   0.081528        0.165811        0.247339        98.046875%      0.140154        0.994866        1.135020        97.570000%
10500   0.102881        0.158013        0.260894        98.437500%      0.134658        0.948077        1.082735        97.599998%
11000   0.203991        0.162820        0.366811        97.265625%      0.162641        0.976919        1.139560        97.239998%
11500   0.053356        0.154021        0.207377        99.218750%      0.130343        0.924128        1.054471        97.689995%
12000   0.083528        0.147304        0.230832        99.218750%      0.131608        0.883823        1.015431        97.860001%
12500   0.101015        0.142492        0.243507        98.437500%      0.135535        0.854950        0.990485        97.599998%
13000   0.095690        0.138449        0.234139        99.609375%      0.130145        0.830693        0.960838        97.739998%
13500   0.071730        0.147812        0.219541        99.218750%      0.158691        0.886869        1.045560        97.399994%
14000   0.057035        0.142094        0.199130        99.609375%      0.136262        0.852567        0.988829        97.649994%
14500   0.072418        0.137060        0.209477        99.609375%      0.132236        0.822358        0.954595        97.750000%
15000   0.066154        0.133099        0.199253        99.218750%      0.138659        0.798594        0.937253        97.539993%
15500   6.382337        0.131110        6.513447        33.984375%      6.115423        0.786662        6.902085        35.840000%
16000   0.115621        0.145971        0.261592        97.656250%      0.150410        0.875829        1.026238        97.369995%
16500   0.036068        0.141150        0.177218        100.000000%     0.135929        0.846901        0.982830        97.639999%
17000   0.053710        0.135844        0.189554        99.609375%      0.127644        0.815064        0.942708        97.790001%
17500   0.035646        0.131522        0.167168        100.000000%     0.126625        0.789133        0.915758        97.849998%
18000   0.092291        0.140579        0.232870        98.437500%      0.143492        0.843476        0.986969        97.539993%
18500   0.061260        0.134048        0.195308        98.828125%      0.125591        0.804289        0.929880        97.839996%
19000   0.080897        0.129028        0.209925        98.437500%      0.138717        0.774170        0.912887        97.519997%
19500   0.077016        0.125643        0.202659        98.437500%      0.128179        0.753859        0.882039        97.829994%
20000   0.085348        0.136551        0.221898        98.046875%      0.160775        0.819303        0.980078        97.330002%
20500   0.078753        0.130568        0.209322        99.218750%      0.126247        0.783409        0.909656        97.809998%
21000   0.042761        0.125759        0.168520        100.000000%     0.124370        0.754555        0.878925        97.970001%
21500   0.041989        0.122354        0.164343        99.609375%      0.119644        0.734126        0.853770        98.099998%
22000   0.061222        0.120043        0.181265        99.218750%      0.131418        0.720257        0.851675        97.790001%
22500   0.059986        0.118826        0.178812        98.828125%      0.127063        0.712958        0.840021        97.869995%
23000   0.037349        0.118042        0.155391        99.609375%      0.119023        0.708252        0.827275        97.970001%
23500   0.063507        0.117500        0.181007        99.218750%      0.129872        0.705000        0.834872        97.699997%

